Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13
Cayman Islands,60,61,61,61,66,66,66,66,70,70,70,70,70,73,73,74,74,74,75,75,78,80,81,81,81,84,85,86,93,94,94,94,94,111,111,121,129,129,129,134,137,140,140,141,141,141,150,151,156,160,164,164,164,171,176,180,186,187,187,187,187,193,193,193,195,195,195,195,195,196,196,196,196,196,199,200,201,201,201,201,201,201,201,201,201,201,201,201,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
Benin,35,35,35,35,54,54,54,54,54,54,64,64,64,64,64,90,90,90,96,96,96,140,242,284,319,319,327,327,339,339,339,339,339,130,130,135,135,135,191,191,208,210,210,224,224,232,243,244,244,261,261,261,261,288,305,305,305,388,412,442,483,532,572,597,650,650,765,807,850,902,"1,017","1,053","1,124","1,149","1,187","1,199","1,199","1,199","1,199","1,199","1,199","1,199","1,199","1,199","1,199","1,285","1,378","1,378","1,378","1,378","1,378","1,463","1,602","1,602","1,602","1,602","1,602","1,690","1,694","1,694","1,694","1,770","1,770","1,770","1,805","1,805","1,805","1,805","1,805","1,805","1,914","1,936","1,936","1,936","1,936","1,936","1,936","2,001","2,014","2,014"
Libya,49,49,49,51,51,59,60,60,61,61,61,61,61,61,61,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,65,65,65,68,69,71,72,75,75,75,77,99,105,118,130,156,168,182,196,209,239,256,256,332,359,378,393,409,418,454,467,484,500,510,520,544,571,595,639,670,698,713,727,762,802,824,874,891,918,989,"1,046","1,117","1,182","1,268","1,342","1,342","1,389","1,433","1,512","1,563","1,589","1,652","1,704","1,791","1,866","1,980","2,088","2,176","2,314","2,424","2,547","2,669","2,827","3,017","3,222","3,438","3,621","3,691","3,837","4,063","4,224","4,475","4,879","5,079","5,232","5,451","5,929","6,302","6,611","7,050"
Eswatini,16,16,22,22,24,31,31,31,36,56,59,65,71,91,100,106,108,112,116,119,123,153,159,163,172,175,184,187,187,190,202,203,205,208,217,220,225,238,250,256,261,272,279,279,283,285,293,294,295,300,305,322,333,340,371,398,449,472,486,490,506,520,563,586,623,627,635,643,674,690,706,728,745,781,795,812,840,873,909,954,988,"1,011","1,056","1,138","1,213","1,257","1,311","1,351","1,389","1,434","1,489","1,552","1,619","1,729","1,793","1,826","1,894","1,938","2,021","2,073","2,142","2,207","2,316","2,404","2,551","2,577","2,648","2,706","2,775","2,838","2,856","2,909","2,968","3,036","3,128","3,236","3,309","3,410","3,525","3,599"
French Polynesia,55,55,55,55,56,57,57,57,57,57,57,58,58,58,58,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,64,64,69,69,69,112,112,139,139
Guinea-Bissau,43,43,46,50,50,50,50,50,52,52,53,73,73,205,205,257,257,257,413,413,475,564,594,641,726,761,820,836,913,913,969,990,"1,032","1,038","1,089","1,109","1,114","1,114","1,114","1,178","1,178","1,195","1,195","1,256","1,256","1,256","1,339","1,339","1,339","1,339","1,368","1,368","1,368","1,389","1,389","1,389","1,389","1,460","1,460","1,460","1,492","1,492","1,492","1,492","1,541","1,541","1,541","1,556","1,556","1,556","1,556","1,614","1,614","1,614","1,654","1,654","1,654","1,654","1,765","1,765","1,765","1,790","1,790","1,790","1,790","1,842","1,842","1,842","1,842","1,842","1,842","1,902","1,927","1,949","1,949","1,949","1,954","1,954","1,954","1,954","1,954","1,954","1,954","1,954","1,954","1,981","1,981","1,981","1,981","1,981","1,981","2,032","2,032","2,032","2,052","2,052","2,052","2,088","2,088","2,088"
Nepal,16,30,31,31,31,42,45,48,49,49,52,52,54,57,57,59,59,75,75,82,99,101,102,109,110,134,217,243,249,267,281,295,375,402,427,457,516,584,603,682,772,886,"1,042","1,212","1,401","1,572","1,811","2,099","2,300","2,634","2,912","3,235","3,448","3,762","4,086","4,364","4,614","5,062","5,335","5,760","6,211","6,591","7,177","7,848","8,274","8,605","9,026","9,561","10,099","10,728","11,162","11,755","12,309","12,772","13,248","13,564","14,046","14,519","15,259","15,491","15,784","15,964","16,168","16,423","16,531","16,649","16,719","16,801","16,945","17,061","17,177","17,344","17,445","17,502","17,658","17,844","17,994","18,094","18,241","18,374","18,483","18,613","18,752","19,063","19,273","19,547","19,771","20,086","20,332","20,750","21,009","21,390","21,750","22,214","22,592","22,972","23,310","23,948","24,432","24,957"
Chad,27,27,33,33,33,33,33,33,40,46,46,46,52,52,73,73,117,117,117,170,170,253,260,322,322,322,357,372,399,428,474,503,519,545,565,588,611,648,675,687,700,715,726,759,759,778,790,803,820,828,836,836,837,839,844,846,848,848,848,850,850,853,854,854,858,858,858,858,860,860,863,865,865,866,866,866,866,868,871,871,872,872,873,873,873,874,874,880,880,884,885,886,887,889,889,889,889,889,915,915,915,915,922,926,926,935,936,936,936,936,938,939,942,942,942,944,945,946,949,949
Macao,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
Syria,33,38,38,39,39,42,42,42,42,42,43,43,43,43,43,44,44,44,44,44,45,45,47,47,47,47,47,48,48,50,51,58,58,58,58,58,59,70,86,106,121,121,122,122,122,122,123,123,123,124,124,125,141,144,146,152,164,164,170,177,177,177,178,187,187,198,204,219,231,231,242,255,256,256,269,279,293,312,328,338,358,372,372,372,372,394,394,394,417,439,458,477,496,496,496,522,540,561,584,608,627,650,674,694,717,738,757,780,809,847,892,944,999,"1,060","1,125","1,188","1,255","1,327","1,327","1,432"
Eritrea,35,35,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,41,41,41,65,96,109,121,131,142,142,143,143,143,143,144,144,167,191,191,191,203,203,215,215,215,215,215,215,215,232,232,232,232,232,232,232,251,251,251,251,251,251,251,261,261,263,263,265,265,265,279,279,279,279,282,282,282,282,285,285,285,285,285,285,285
Saint Martin,35,35,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,46,46,46,46,46,46,46,46,49,49,49,49,49,49,53,53,53,53,53,53,53,53,53,78,78,84,84,92
Mongolia,31,31,31,32,33,34,35,35,36,37,38,38,38,38,38,38,39,39,40,41,41,41,42,42,42,42,42,42,61,98,135,136,140,140,140,140,141,141,141,141,141,148,161,179,179,179,185,185,185,186,191,193,193,194,194,194,194,197,197,197,197,197,197,201,204,204,206,213,215,215,216,219,219,219,220,220,220,220,220,220,220,220,225,227,227,227,227,230,230,243,261,261,262,287,287,287,287,287,287,288,288,288,288,289,291,291,291,291,293,293,293,293,293,293,293,293,293,293,293,297
Malawi,16,17,17,17,17,18,23,33,33,33,34,36,36,36,37,37,38,39,41,41,43,43,43,56,56,57,57,63,63,63,65,70,70,70,71,72,82,82,83,101,101,101,203,273,279,284,336,358,369,393,409,409,438,443,455,455,481,481,529,547,555,564,572,592,620,620,730,749,803,941,960,"1,005","1,038","1,146","1,152","1,224","1,265","1,342","1,498","1,613","1,613","1,742","1,818","1,864","1,942","2,069","2,261","2,364","2,430","2,497","2,614","2,712","2,805","2,810","2,907","2,992","3,045","3,149","3,302","3,453","3,557","3,640","3,664","3,709","3,738","3,858","4,078","4,186","4,231","4,272","4,361","4,426","4,491","4,575","4,624","4,658","4,674","4,714","4,752","4,912"
Zimbabwe,23,24,25,25,25,28,28,28,29,31,31,31,32,32,40,40,34,34,34,34,34,34,34,35,36,36,36,37,37,42,42,44,46,46,48,51,51,56,56,56,56,132,149,149,174,178,203,206,222,237,265,279,282,287,314,320,332,343,356,383,387,391,401,463,479,479,489,512,525,530,551,561,567,567,574,591,605,617,625,698,716,734,787,885,926,942,982,985,"1,034","1,064","1,089","1,362","1,420","1,478","1,611","1,713","1,820","2,034","2,124","2,296","2,434","2,512","2,704","2,817","2,879","3,092","3,169","3,659","3,921","4,075","4,221","4,221","4,339","4,451","4,575","4,649","4,748","4,818","4,893","4,990"
Angola,19,19,24,24,24,24,25,25,25,25,26,27,27,27,27,30,35,35,35,36,36,36,43,43,43,45,45,45,48,48,48,48,50,52,52,58,60,61,69,70,70,71,74,81,84,86,86,86,86,86,86,88,91,92,96,113,118,130,138,140,142,148,155,166,172,176,183,186,189,197,212,212,259,267,276,284,291,315,328,346,346,346,386,386,396,458,462,483,525,541,576,607,638,687,705,749,779,812,851,880,916,932,950,"1,000","1,078","1,109","1,148","1,164","1,199","1,280","1,344","1,395","1,483","1,538","1,572","1,672","1,679","1,735","1,762","1,815"
Antigua and Barbuda,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,65,65,65,65,69,69,69,69,69,68,68,68,70,70,70,73,74,74,74,74,74,74,74,76,76,76,76,76,76,76,82,82,82,86,86,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,92
Timor-Leste,18,18,18,19,22,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25
Botswana,15,15,15,20,20,20,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,29,30,30,35,35,35,35,35,35,35,35,38,40,40,40,40,40,40,42,42,48,48,48,60,60,60,60,79,79,89,89,89,89,89,92,92,92,92,92,175,227,227,227,277,277,277,314,314,314,314,314,314,399,399,399,399,522,522,522,522,522,522,522,592,686,686,686,739,739,804,804,804,804,804,804,804,804,804,804,804,804,"1,066","1,066","1,066","1,214"
CAR,12,12,12,12,12,14,14,16,16,16,19,50,50,50,50,72,72,72,85,85,94,94,143,143,143,143,143,143,143,301,327,327,327,366,418,436,479,552,604,652,671,702,755,874,962,"1,011","1,069","1,069","1,173","1,288","1,451","1,570","1,634","1,850","1,850","1,888","1,952","2,044","2,057","2,057","2,222","2,410","2,564","2,605","2,605","2,686","2,808","2,963","3,051","3,099","3,244","3,340","3,429","3,429","3,613","3,745","3,745","3,788","3,918","3,969","3,969","4,033","4,071","4,109","4,200","4,259","4,288","4,288","4,321","4,356","4,362","4,373","4,389","4,485","4,485","4,548","4,561","4,574","4,590","4,593","4,598","4,599","4,599","4,599","4,605","4,605","4,608","4,614","4,614","4,614","4,618","4,618","4,620","4,641","4,641","4,641","4,641","4,645","4,652","4,652"
Laos,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Belize,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,20,21,21,22,22,22,22,22,22,23,23,23,23,24,24,24,24,28,28,28,30,30,30,30,30,30,33,37,37,37,39,39,40,40,40,40,40,42,43,43,47,48,48,48,48,48,48,48,48,57,57,57,72,86,114,146,153,154,177,210,296
Fiji,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,21,21,21,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28
Grenada,14,14,14,14,14,14,15,15,15,18,18,18,18,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
New Caledonia,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23
Curaçao,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,18,18,18,18,18,19,19,19,20,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,25,26,26,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,32,32,32,32
Dominica,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Namibia,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,19,20,21,21,21,22,22,23,23,24,25,25,25,25,25,29,29,31,31,31,31,31,32,32,32,34,36,39,45,46,55,63,72,76,102,121,136,183,196,205,285,293,350,375,412,485,539,593,615,668,713,785,861,864,960,"1,032","1,078","1,203","1,247","1,344","1,366","1,402","1,522","1,618","1,687","1,775","1,843","1,917","1,986","2,052","2,129","2,224","2,294","2,406","2,470","2,540","2,652","2,802","2,802","2,949","3,101","3,229","3,406","3,544"
Saint Kitts and Nevis,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Saint Lucia,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
St. Vincent Grenadines,12,12,12,12,12,12,13,13,14,14,14,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,25,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,35,35,35,35,35,35,38,44,50,50,52,52,52,52,52,52,52,52,52,54,54,55,55,55,56,56,56,56,56,57,57,57,57
Nicaragua,9,9,9,10,10,10,10,11,11,12,13,13,13,13,14,14,14,14,15,16,16,16,16,16,16,16,25,25,25,25,25,25,25,254,254,279,279,279,279,279,759,759,759,759,759,759,759,"1,118","1,118","1,118","1,118","1,118","1,118","1,118","1,464","1,464","1,464","1,464","1,464","1,464","1,464","1,823","1,823","1,823","1,823","1,823","1,823","1,823","2,170","2,170","2,170","2,170","2,170","2,170","2,170","2,519","2,519","2,519","2,519","2,519","2,519","2,519","2,846","2,846","2,846","2,846","2,846","2,846","2,846","3,147","3,147","3,147","3,147","3,147","3,147","3,147","3,439","3,439","3,439","3,439","3,439","3,439","3,439","3,672","3,672","3,672","3,672","3,672","3,672","3,672","3,902","3,902","3,902","3,902","3,902","3,902","3,902","4,115","4,115","4,115"
Falkland Islands,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Burundi,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,42,42,42,42,42,42,42,42,42,42,42,42,63,63,63,63,63,63,63,83,83,83,83,83,85,85,85,85,85,104,104,104,104,104,144,144,144,144,144,144,170,170,170,170,170,170,191,191,191,191,191,191,191,191,191,191,269,269,269,303,310,310,310,322,328,328,345,345,361,361,378,378,387,387,387,395,395,395,395,395,400,400,405,408,408,408,409,410
Montserrat,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13
Turks and Caicos,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,15,16,16,28,41,41,42,42,44,45,47,48,49,55,55,66,69,71,72,72,72,72,74,75,75,81,81,82,86,90,92,97,99,99,99,104,107,114,114,116,116,116,129,141,170,197,216,216,224,241
Greenland,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Seychelles,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,70,77,81,81,81,81,81,81,81,81,91,94,100,100,100,100,100,100,108,108,108,108,108,108,108,108,114,114,114,114,114,114,114,114,114,114,114,114,126,126,126,126,126,126,127,127,127
Gambia,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,12,17,17,17,17,17,18,20,20,20,22,22,23,23,23,23,23,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,28,28,28,28,28,28,28,30,34,34,36,36,36,37,41,41,42,42,43,44,45,47,49,49,55,55,57,57,61,61,61,63,64,64,64,64,64,64,78,78,93,93,112,112,146,170,216,277,277,326,326,326,403,498,498,498,498,671,799,935,"1,090","1,090","1,235","1,235","1,346","1,477","1,556"
Suriname,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,23,44,54,74,82,90,100,122,128,137,144,168,187,196,208,229,236,261,277,293,302,314,319,319,357,373,389,433,490,501,515,535,547,561,565,594,614,634,665,694,726,741,741,780,801,837,904,943,"1,001","1,029","1,079","1,131","1,176","1,234","1,305","1,381","1,439","1,483","1,510","1,607","1,607","1,650","1,760","1,849","1,893","1,981","2,050","2,096","2,203","2,306","2,391","2,489","2,559","2,653","2,761"
MS Zaandam,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Vatican City,8,8,8,8,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Papua New Guinea,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,16,19,27,30,31,32,39,62,62,63,63,63,72,91,110,111,114,153,163,188,188,214,214,214,287,271
Mauritania,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,15,20,29,40,62,81,131,141,173,200,227,237,262,268,292,346,423,483,530,588,668,745,784,883,947,"1,049","1,104","1,162","1,283","1,439","1,572","1,682","1,783","1,887","2,057","2,223","2,424","2,621","2,813","2,984","3,121","3,292","3,519","3,739","3,907","4,025","4,149","4,237","4,363","4,472","4,606","4,705","4,827","4,879","4,948","5,024","5,087","5,126","5,203","5,275","5,355","5,446","5,518","5,564","5,659","5,710","5,813","5,873","5,923","5,985","6,027","6,067","6,116","6,151","6,171","6,208","6,249","6,273","6,295","6,310","6,319","6,323","6,382","6,418","6,444","6,444","6,498","6,510","6,523","6,555","6,598","6,622","6,653"
Bhutan,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,11,11,20,21,21,21,21,21,21,21,21,24,24,27,27,28,31,31,33,43,43,47,47,47,48,48,48,59,59,59,62,62,62,66,66,67,67,67,67,68,68,68,69,70,70,70,75,76,76,77,77,77,77,78,78,80,80,80,80,80,82,82,84,84,84,84,86,87,87,89,90,92,92,92,92,93,95,99,99,101,101,101,102,103,103,105,105,108,108,108,110,113,116,128
British Virgin Islands,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9
St. Barth,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,13,13,13,13,13
South Sudan,4,4,4,4,4,4,4,4,5,5,6,6,34,34,35,45,45,46,46,52,58,74,120,120,120,156,194,203,203,236,236,290,290,290,290,481,563,655,655,806,806,994,994,994,994,994,994,994,994,994,994,994,"1,317","1,604","1,604","1,604","1,670","1,670","1,693","1,693","1,693","1,776","1,813","1,830","1,864","1,882","1,892","1,916","1,930","1,942","1,942","1,942","1,942","1,989","1,989","2,007","2,021","2,021","2,021","2,021","2,021","2,021","2,021","2,021","2,021","2,021","2,021","2,021","2,148","2,148","2,153","2,171","2,191","2,191","2,200","2,211","2,211","2,211","2,239","2,258","2,258","2,262","2,305","2,305","2,322","2,322","2,322","2,352","2,429","2,429","2,437","2,437","2,450","2,450","2,463","2,470","2,470","2,472","2,477","2,478"
Western Sahara,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
