Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01
French Guiana,86,96,96,96,97,97,107,107,111,111,111,111,125,125,126,128,128,128,133,133,138,138,141,141,144,144,144,153,164,189,197,197,210,218,237,249,261,279,328,353,384,406,436,450,477,499,499,517,533,556,589,639,689,729,773,865,917,"1,043","1,161","1,255","1,326","1,421","1,554","1,758","1,969","2,163","2,441","2,458","2,593","2,827","3,033","3,270","3,461","3,461","3,774","4,004","4,268","4,444","4,558","4,913","4,913","5,054","5,178","5,459","5,558","5,704","5,949","5,949","6,170","6,229","6,299","6,393","6,509","6,655","6,655","6,745","6,851","6,883","7,086","7,251","7,332","7,332","7,514","7,562","7,647","7,728","7,799","7,857","7,857","7,948","7,998","8,069","8,127","8,204","8,267","8,267","8,324","8,360","8,423","8,471","8,549","8,588","8,588","8,622","8,657","8,711","8,743","8,777","8,797","8,797","8,875","8,904","8,936","8,982","9,022","9,076","9,076","9,115","9,154","9,209","9,251","9,276","9,322","9,322","9,355","9,387","9,418","9,462","9,494","9,521","9,521","9,552","9,578","9,595","9,623","9,659","9,692","9,692","9,712","9,738","9,762","9,790","9,831","9,863","9,863","9,895","9,929","9,955","9,966","9,968","10,029","10,029","10,057","10,070","10,103","10,128","10,144","10,144","10,170","10,180","10,192","10,202","10,233","10,239","10,243","10,243","10,268","10,268","10,295","10,342","10,351","10,376","10,376","10,385","10,397","10,404","10,425","10,517","10,536","10,536"
Bermuda,81,83,83,86,86,98,99,99,99,109,109,110,110,111,114,114,114,115,115,115,118,118,118,118,118,119,121,121,122,122,123,123,125,125,125,125,128,128,133,133,139,139,140,140,140,140,141,141,141,141,141,141,141,141,141,141,141,141,142,142,144,144,144,144,144,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,148,149,149,150,150,150,150,150,150,152,152,153,153,153,153,153,153,153,153,153,154,156,156,156,156,156,157,157,157,157,157,157,157,158,158,159,159,159,159,162,162,162,166,166,166,167,167,167,168,168,168,168,168,169,169,172,172,172,174,175,175,175,175,175,177,177,177,177,177,177,177,178,178,178,180,180,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,182,184,184,184,184,185,185,185,185,185,185,185,188,188,188,190,190,190,193,194,194,198,199,199,199
Cabo Verde,56,56,58,61,67,68,73,82,88,90,106,109,114,114,121,122,152,165,175,186,191,218,230,236,246,260,267,289,315,326,328,328,328,335,349,356,362,371,380,390,390,390,390,405,421,435,458,466,477,502,536,542,554,567,585,615,657,697,726,750,760,781,792,823,848,863,890,944,982,999,"1,003","1,027","1,091","1,155","1,165","1,227","1,267","1,301","1,382","1,421","1,451","1,463","1,499","1,542","1,552","1,591","1,623","1,623","1,698","1,722","1,780","1,894","1,939","2,014","2,045","2,071","2,107","2,154","2,190","2,220","2,258","2,307","2,328","2,354","2,373","2,418","2,451","2,480","2,547","2,583","2,631","2,689","2,734","2,780","2,835","2,858","2,883","2,920","3,000","3,073","3,136","3,163","3,179","3,203","3,253","3,321","3,368","3,412","3,455","3,509","3,532","3,568","3,630","3,699","3,745","3,778","3,852","3,884","3,970","4,048","4,125","4,200","4,275","4,330","4,358","4,400","4,473","4,557","4,651","4,711","4,813","4,839","4,904","4,978","5,063","5,141","5,186","5,257","5,281","5,337","5,412","5,479","5,628","5,701","5,771","5,817","5,900","6,024","6,126","6,205","6,296","6,360","6,433","6,518","6,624","6,717","6,809","6,913","7,072","7,155","7,254","7,371","7,444","7,526","7,638","7,752","7,800","7,901","8,033","8,122","8,198","8,322","8,396","8,423","8,472","8,548","8,603","8,694","8,793","8,848"
Aruba,95,96,96,97,97,97,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,103,103,103,104,104,105,105,105,105,105,105,105,105,105,105,106,106,108,111,111,113,115,117,117,117,118,119,119,119,119,119,120,121,121,122,124,132,171,263,396,509,563,630,717,798,894,973,"1,048","1,102","1,121","1,205","1,296","1,387","1,464","1,534","1,568","1,628","1,670","1,760","1,848","1,906","1,975","1,997","2,006","2,104","2,211","2,292","2,358","2,428","2,449","2,482","2,589","2,730","2,819","2,898","2,994","3,046","3,060","3,152","3,328","3,382","3,460","3,460","3,551","3,587","3,665","3,721","3,756","3,799","3,832","3,844","3,872","3,934","3,963","3,998","4,038","4,074","4,079","4,094","4,108","4,133","4,150","4,167","4,188","4,194","4,197","4,229","4,255","4,285","4,289","4,304","4,322","4,334","4,355","4,369","4,389","4,401","4,410","4,420","4,422","4,437","4,455","4,472","4,494","4,513","4,519"
Togo,81,83,84,84,84,86,88,88,90,96,98,98,99,109,116,123,123,124,126,128,128,135,145,153,174,181,199,219,238,263,298,301,330,338,340,354,363,373,381,386,391,395,422,428,433,442,443,445,452,465,485,487,495,497,501,522,524,525,530,530,531,537,544,547,555,561,569,569,576,583,588,591,615,642,643,650,661,667,671,676,680,680,689,695,704,710,710,720,721,731,740,749,766,774,778,783,790,806,828,839,853,868,874,896,896,908,941,958,961,976,988,"1,001","1,012","1,028","1,046","1,060","1,067","1,070","1,092","1,104","1,124","1,130","1,147","1,154","1,173","1,190","1,212","1,239","1,275","1,277","1,295","1,309","1,326","1,326","1,365","1,390","1,396","1,400","1,416","1,434","1,443","1,457","1,477","1,488","1,493","1,513","1,528","1,537","1,548","1,555","1,572","1,578","1,595","1,608","1,618","1,640","1,659","1,666","1,669","1,683","1,701","1,707","1,722","1,736","1,743","1,749","1,759","1,784","1,809","1,818","1,840","1,854","1,864","1,881","1,898","1,907","1,921","1,935","1,940","1,949","1,972","1,983","1,996","2,027","2,049","2,057","2,071","2,104","2,120","2,139","2,162","2,187","2,200","2,204","2,229","2,238","2,296","2,312","2,331","2,357"
Monaco,93,94,94,94,94,94,94,94,94,94,94,95,95,95,95,95,95,95,95,95,95,95,95,96,96,96,96,96,96,96,96,96,97,97,97,97,97,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,101,101,102,102,102,103,103,103,103,103,106,106,106,108,108,108,108,108,108,109,109,109,109,109,109,109,109,109,109,111,112,114,116,116,116,116,117,120,120,120,120,120,121,123,125,125,128,131,133,133,138,141,144,146,146,146,148,148,148,150,154,154,112,112,121,122,125,125,130,131,138,140,142,143,147,147,147,153,156,161,165,168,169,171,177,178,181,186,191,192,193,195,197,199,205,208,210,210,212,214,218,219,221,222,222,223,224,227,229,233,233,234,236,241,248,253,255,260,265,268,271,273,281,295,296,306,310,320,337,347,355,359,366
Sierra Leone,15,26,30,35,43,50,61,64,82,82,93,99,104,104,124,136,155,166,178,199,225,231,257,291,307,338,338,387,408,447,462,505,519,534,570,585,606,621,707,735,754,782,812,829,852,861,865,896,909,914,929,946,969,"1,001","1,025","1,062","1,085","1,103","1,132","1,169","1,176","1,225","1,249","1,272","1,298","1,309","1,327","1,340","1,347","1,354","1,354","1,394","1,410","1,427","1,450","1,462","1,498","1,518","1,524","1,533","1,542","1,547","1,572","1,584","1,598","1,613","1,618","1,635","1,642","1,651","1,668","1,678","1,688","1,701","1,711","1,711","1,727","1,731","1,752","1,765","1,768","1,783","1,783","1,786","1,803","1,818","1,823","1,823","1,843","1,848","1,855","1,860","1,877","1,887","1,895","1,916","1,917","1,932","1,937","1,940","1,947","1,954","1,956","1,956","1,959","1,961","1,969","1,972","1,980","1,992","1,997","2,001","2,003","2,013","2,013","2,019","2,022","2,022","2,028","2,029","2,035","2,041","2,041","2,054","2,055","2,064","2,067","2,069","2,087","2,096","2,109","2,111","2,126","2,133","2,133","2,153","2,159","2,168","2,168","2,174","2,183","2,188","2,199","2,208","2,215","2,215","2,222","2,231","2,238","2,252","2,259","2,269","2,269","2,277","2,287","2,293","2,295","2,300","2,306","2,306","2,309","2,315","2,323","2,325","2,327","2,330","2,331","2,336","2,337","2,340","2,343","2,345","2,346","2,346","2,350","2,354","2,362","2,365","2,366","2,366"
Zambia,48,52,57,61,65,70,74,76,84,84,88,89,95,97,106,109,119,124,137,138,146,153,167,252,267,267,441,446,654,654,679,753,761,772,832,866,920,920,920,920,920,"1,057","1,057","1,057","1,057","1,057","1,089","1,089","1,089","1,089","1,089","1,089","1,089","1,200","1,200","1,200","1,200","1,321","1,357","1,358","1,382","1,405","1,412","1,416","1,430","1,430","1,430","1,430","1,477","1,489","1,497","1,531","1,531","1,557","1,568","1,594","1,632","1,632","1,632","1,632","1,632","1,632","1,895","1,895","1,895","1,895","1,895","1,895","1,895","1,895","1,895","2,620","2,810","2,980","3,148","3,326","3,386","3,583","3,789","3,856","4,328","4,481","4,552","5,002","5,249","5,555","5,963","6,228","6,347","6,580","6,793","7,022","7,164","7,486","7,903","8,085","8,210","8,275","8,501","8,663","9,021","9,186","9,343","9,839","9,981","10,218","10,372","10,627","10,831","11,082","11,148","11,285","11,376","11,601","11,779","11,902","12,025","12,097","12,381","12,415","12,523","12,639","12,709","12,776","12,836","12,952","13,112","13,214","13,323","13,466","13,539","13,720","13,819","13,887","13,928","14,022","14,070","14,131","14,175","14,389","14,443","14,491","14,515","14,612","14,641","14,660","14,715","14,759","14,802","14,830","14,974","15,052","15,089","15,170","15,224","15,301","15,339","15,415","15,458","15,549","15,587","15,616","15,659","15,712","15,789","15,853","15,897","15,982","16,000","16,035","16,095","16,117","16,117","16,200","16,243","16,285","16,325","16,415","16,432","16,480"
Liechtenstein,79,79,79,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,82,82,82,82,82,82,82,82,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,85,86,86,86,86,86,86,86,86,86,86,87,88,88,88,88,89,89,89,89,89,89,89,89,89,89,90,90,91,91,91,94,97,98,99,99,99,99,100,102,102,105,106,107,107,107,107,107,107,107,107,107,107,107,108,109,109,111,111,111,111,111,112,112,113,113,114,115,116,116,117,117,117,117,118,118,119,120,123,126,127,130,131,135,139,144,148,148,163,174,183,192,217,224,224,235,252,282,324,340,365,402,428,450,476,513,533,551
Bahamas,53,54,55,60,60,65,65,72,73,78,80,80,80,80,81,81,83,83,83,89,92,92,92,92,92,93,93,94,96,96,96,96,96,96,97,97,97,100,100,100,100,100,100,102,102,102,102,102,102,102,102,103,103,103,103,103,103,103,103,103,103,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,106,107,111,111,111,113,119,124,129,138,153,174,194,219,274,316,326,342,382,447,484,508,574,599,648,679,715,751,761,830,878,898,945,989,"1,036","1,089","1,119","1,252","1,315","1,329","1,424","1,531","1,610","1,703","1,703","1,765","1,798","1,798","1,813","1,923","2,057","2,135","2,167","2,217","2,276","2,337","2,386","2,386","2,476","2,506","2,546","2,585","2,657","2,721","2,814","2,928","2,928","2,974","3,032","3,087","3,177","3,177","3,214","3,315","3,418","3,467","3,618","3,618","3,699","3,790","3,838","3,838","3,903","4,022","4,123","4,220","4,332","4,409","4,452","4,559","4,632","4,713","4,713","4,955","5,078","5,078","5,163","5,191","5,385","5,517","5,628","5,703","5,773","5,923","6,051","6,135","6,268","6,268","6,410","6,410","6,502","6,549","6,607","6,644","6,714","6,714"
Barbados,75,75,75,75,75,75,76,76,77,79,79,80,80,80,81,81,81,81,82,82,82,82,83,84,84,84,85,85,85,85,86,88,88,88,90,90,90,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,96,96,96,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,103,103,103,103,104,104,104,104,105,106,106,106,106,108,108,110,110,110,110,110,110,122,132,132,132,133,133,138,138,142,142,143,144,144,148,150,151,152,153,155,156,157,158,161,161,164,165,165,166,170,173,174,176,176,177,178,178,178,179,180,180,180,180,180,181,183,184,185,185,185,185,189,189,189,189,189,190,190,190,190,190,190,193,193,196,199,200,200,203,203,204,206,208,208,210,215,218,219,219,221,222,222,222,224,226,227,227,233,233,234,234,236,236,237
Uganda,55,55,55,55,56,61,63,74,75,75,79,79,79,81,83,85,88,89,97,98,100,101,101,116,121,121,126,139,160,203,227,227,248,260,264,160,175,198,198,222,253,281,317,329,413,417,457,489,507,522,557,593,616,646,657,665,679,686,694,696,705,724,732,741,755,763,770,774,797,805,821,833,848,859,870,889,893,902,911,927,939,953,971,977,"1,000","1,006","1,013","1,025","1,029","1,040","1,043","1,051","1,056","1,062","1,065","1,069","1,075","1,075","1,079","1,089","1,103","1,115","1,128","1,135","1,140","1,147","1,154","1,176","1,182","1,195","1,203","1,213","1,223","1,254","1,267","1,283","1,297","1,313","1,332","1,353","1,385","1,434","1,500","1,560","1,603","1,656","1,750","1,848","2,166","2,263","2,362","2,426","2,524","2,679","2,756","2,847","2,928","2,972","3,037","3,112","3,288","3,353","3,539","3,667","3,776","3,900","4,101","4,291","4,377","4,703","4,799","4,978","5,123","5,266","5,380","5,594","6,017","6,287","6,468","6,712","6,879","7,064","7,218","7,364","7,530","7,777","8,017","8,129","8,287","8,491","8,662","8,808","8,965","9,082","9,260","9,442","9,538","9,701","9,801","9,864","9,945","10,069","10,117","10,334","10,455","10,590","10,691","10,788","10,933","11,041","11,163","11,297","11,443","11,557","11,621","11,767","12,201","12,410","12,495","12,743"
Mozambique,31,34,35,39,39,39,41,46,65,70,76,76,76,76,76,79,79,80,80,81,81,81,82,87,91,103,104,104,115,119,129,137,145,146,156,162,164,168,194,209,213,227,233,234,244,254,254,307,316,352,354,409,424,433,453,472,489,509,553,583,609,638,651,662,668,688,733,737,757,762,788,816,816,859,883,889,903,918,939,969,987,"1,012","1,040","1,071","1,092","1,111","1,135","1,157","1,219","1,268","1,330","1,383","1,402","1,435","1,491","1,507","1,536","1,557","1,582","1,590","1,616","1,669","1,701","1,720","1,748","1,808","1,864","1,907","1,946","1,973","2,029","2,079","2,120","2,213","2,241","2,269","2,411","2,481","2,559","2,638","2,708","2,791","2,855","2,914","2,991","3,045","3,115","3,195","3,304","3,395","3,440","3,508","3,590","3,651","3,697","3,760","3,821","3,916","4,039","4,117","4,207","4,265","4,341","4,444","4,557","4,647","4,764","4,832","4,918","5,040","5,269","5,482","5,713","5,994","6,161","6,264","6,537","6,771","6,912","7,114","7,262","7,399","7,589","7,757","7,983","8,288","8,556","8,728","8,888","8,979","9,049","9,196","9,296","9,398","9,494","9,639","9,742","9,844","10,001","10,088","10,258","10,392","10,537","10,612","10,707","10,866","11,080","11,190","11,331","11,559","11,748","11,895","11,986","12,161","12,273","12,415","12,525","12,777","12,869","12,988"
Sint Maarten,57,57,64,67,67,68,71,73,73,73,74,74,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,81,84,93,114,114,114,115,126,128,128,146,146,150,156,160,176,177,189,189,205,219,248,263,269,300,317,326,333,348,353,368,396,408,408,418,442,444,444,460,463,476,482,504,511,511,511,516,516,527,530,530,531,533,549,549,549,557,565,574,584,584,591,594,616,618,627,633,644,645,659,667,668,674,678,679,686,689,698,699,703,707,710,719,729,737,746,749,753,756,756,762,769,776,780,784,789,792,805,805,822,826,831
Guyana,55,63,63,65,65,66,67,70,73,73,74,74,74,74,82,82,82,82,92,92,93,93,94,94,104,109,113,113,113,116,117,117,124,125,125,127,127,127,135,137,139,139,150,150,152,153,153,153,153,153,153,154,154,154,156,156,158,159,159,159,159,171,171,183,183,183,184,205,206,209,215,215,230,230,235,245,248,250,256,272,273,273,284,284,286,290,291,297,300,308,313,315,320,327,336,337,339,350,351,352,360,370,389,396,398,401,413,430,474,474,497,509,538,538,554,568,568,602,623,631,649,674,709,709,737,776,846,881,925,955,"1,029","1,060","1,093","1,140","1,180","1,184","1,234","1,306","1,373","1,382","1,401","1,401","1,459","1,468","1,560","1,613","1,703","1,750","1,763","1,812","1,853","1,884","1,958","1,958","2,027","2,102","2,168","2,269","2,402","2,437","2,535","2,579","2,709","2,725","2,772","2,787","2,846","2,894","2,929","2,968","3,005","3,093","3,188","3,188","3,292","3,329","3,358","3,405","3,469","3,521","3,565","3,589","3,620","3,672","3,710","3,734","3,765","3,796","3,850","3,877","3,960","3,994","4,023","4,026","4,061","4,074","4,098","4,143","4,162","4,208"
Haiti,41,43,44,47,57,57,62,72,72,72,74,74,76,76,81,85,85,85,100,101,101,129,146,151,182,182,209,219,234,273,358,456,533,533,596,663,734,812,865,958,"1,063","1,174","1,320","1,443","1,584","1,865","2,124","2,226","2,507","2,640","2,740","3,072","3,072","3,334","3,538","3,662","3,796","3,941","3,941","4,165","4,309","4,441","4,547","4,688","4,916","4,980","5,077","5,211","5,211","5,324","5,429","5,543","5,722","5,777","5,847","5,933","5,975","6,040","6,101","6,230","6,294","6,333","6,371","6,432","6,486","6,582","6,617","6,690","6,727","6,727","6,831","6,902","6,948","6,975","7,053","7,053","7,100","7,146","7,167","7,197","7,260","7,297","7,315","7,340","7,371","7,378","7,412","7,424","7,468","7,476","7,511","7,532","7,544","7,582","7,599","7,611","7,634","7,649","7,743","7,781","7,810","7,831","7,879","7,897","7,921","7,949","7,997","8,016","8,050","8,082","8,110","8,112","8,122","8,151","8,161","8,174","8,209","8,224","8,230","8,258","8,301","8,326","8,336","8,360","8,362","8,376","8,384","8,429","8,457","8,478","8,493","8,499","8,530","8,541","8,556","8,600","8,600","8,619","8,624","8,633","8,646","8,668","8,684","8,723","8,740","8,740","8,740","8,766","8,781","8,792","8,811","8,819","8,827","8,838","8,838","8,854","8,854","8,860","8,882","8,882","8,887","8,908","8,925","8,925","8,956","8,964","8,976","8,976","8,979","9,007","9,015","9,015","9,026","9,026","9,040","9,046","9,057","9,057","9,057","9,057"
Cayman Islands,60,61,61,61,66,66,66,66,70,70,70,70,70,73,73,74,74,74,75,75,78,80,81,81,81,84,85,86,93,94,94,94,94,111,111,121,129,129,129,134,137,140,140,141,141,141,150,151,156,160,164,164,164,171,176,180,186,187,187,187,187,193,193,193,195,195,195,195,195,196,196,196,196,196,199,200,201,201,201,201,201,201,201,201,201,201,201,201,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,207,208,208,208,208,208,208,208,208,208,208,208,209,210,210,210,210,210,210,211,211,211,211,213,213,213,213,213,213,214,220,221,221,221,221,225,225,233,233,233,235,235,235,236,239,239,239,239,239,239,239,240,240,240
Benin,35,35,35,35,54,54,54,54,54,54,64,64,64,64,64,90,90,90,96,96,96,140,242,284,319,319,327,327,339,339,339,339,339,130,130,135,135,135,191,191,208,210,210,224,224,232,243,244,244,261,261,261,261,288,305,305,305,388,412,442,483,532,572,597,650,650,765,807,850,902,"1,017","1,053","1,124","1,149","1,187","1,199","1,199","1,199","1,199","1,199","1,199","1,199","1,199","1,199","1,199","1,285","1,378","1,378","1,378","1,378","1,378","1,463","1,602","1,602","1,602","1,602","1,602","1,690","1,694","1,694","1,694","1,770","1,770","1,770","1,805","1,805","1,805","1,805","1,805","1,805","1,914","1,936","1,936","1,936","1,936","1,936","1,936","2,001","2,014","2,014","2,014","2,063","2,063","2,063","2,063","2,095","2,095","2,095","2,115","2,115","2,115","2,115","2,145","2,145","2,145","2,145","2,145","2,145","2,145","2,194","2,194","2,194","2,213","2,213","2,213","2,213","2,242","2,242","2,242","2,242","2,267","2,267","2,267","2,280","2,280","2,280","2,280","2,280","2,294","2,294","2,325","2,325","2,325","2,325","2,340","2,340","2,340","2,357","2,357","2,357","2,357","2,357","2,357","2,357","2,411","2,411","2,411","2,411","2,411","2,411","2,411","2,478","2,496","2,496","2,496","2,496","2,496","2,496","2,557","2,557","2,557","2,557","2,557","2,557","2,557","2,643","2,643","2,643","2,643","2,683"
Libya,49,49,49,51,51,59,60,60,61,61,61,61,61,61,61,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,65,65,65,68,69,71,72,75,75,75,77,99,105,118,130,156,168,182,196,209,239,256,256,332,359,378,393,409,418,454,467,484,500,510,520,544,571,595,639,670,698,713,727,762,802,824,874,891,918,989,"1,046","1,117","1,182","1,268","1,342","1,342","1,389","1,433","1,512","1,563","1,589","1,652","1,704","1,791","1,866","1,980","2,088","2,176","2,314","2,424","2,547","2,669","2,827","3,017","3,222","3,438","3,621","3,691","3,837","4,063","4,224","4,475","4,879","5,079","5,232","5,451","5,929","6,302","6,611","7,050","7,327","7,738","8,172","8,579","9,068","9,463","9,707","10,121","10,437","10,437","11,009","11,281","11,834","12,274","12,629","12,958","13,423","13,966","14,624","15,156","15,773","16,445","17,094","17,749","18,834","19,583","20,462","20,939","21,908","22,348","22,781","23,515","24,144","24,936","25,822","26,438","27,234","27,949","28,796","29,446","30,097","30,632","31,290","31,828","32,364","33,213","34,014","34,525","35,208","35,717","36,087","36,809","37,437","38,468","39,513","40,292","41,368","41,686","42,712","43,821","44,985","45,821","46,676","47,845","47,845","48,790","49,949","50,906","51,625","52,620","53,384","54,374","56,013","57,223","57,975","58,874","59,656","60,628","61,095","62,045"
Eswatini,16,16,22,22,24,31,31,31,36,56,59,65,71,91,100,106,108,112,116,119,123,153,159,163,172,175,184,187,187,190,202,203,205,208,217,220,225,238,250,256,261,272,279,279,283,285,293,294,295,300,305,322,333,340,371,398,449,472,486,490,506,520,563,586,623,627,635,643,674,690,706,728,745,781,795,812,840,873,909,954,988,"1,011","1,056","1,138","1,213","1,257","1,311","1,351","1,389","1,434","1,489","1,552","1,619","1,729","1,793","1,826","1,894","1,938","2,021","2,073","2,142","2,207","2,316","2,404","2,551","2,577","2,648","2,706","2,775","2,838","2,856","2,909","2,968","3,036","3,128","3,236","3,309","3,410","3,525","3,599","3,670","3,745","3,839","3,894","3,989","4,058","4,110","4,128","4,189","4,225","4,304","4,327","4,387","4,433","4,461","4,510","4,561","4,577","4,618","4,668","4,720","4,780","4,819","4,853","4,884","4,904","4,936","4,994","5,025","5,050","5,075","5,104","5,128","5,155","5,191","5,215","5,245","5,269","5,282","5,307","5,343","5,375","5,399","5,419","5,431","5,452","5,462","5,482","5,500","5,521","5,530","5,569","5,579","5,598","5,617","5,632","5,644","5,660","5,669","5,683","5,696","5,715","5,733","5,746","5,765","5,780","5,788","5,800","5,805","5,814","5,831","5,847","5,854","5,863","5,875","5,886","5,899","5,909","5,917","5,925"
French Polynesia,55,55,55,55,56,57,57,57,57,57,57,58,58,58,58,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,64,64,69,69,69,112,112,139,139,166,166,166,211,211,211,211,298,298,298,372,372,415,415,482,482,482,573,573,622,622,694,694,694,773,773,795,857,953,953,953,"1,099","1,099","1,099","1,099","1,111","1,271","1,271","1,271","1,394","1,394","1,469","1,579","1,579","1,579","1,579","1,728","1,852","1,852","1,964","1,964","1,964","2,228","2,228","2,358","2,420","2,754","2,754","2,754","3,251","3,251","3,573","3,573","3,797","3,797","3,797","4,548","4,548","5,161","5,161","5,797","5,797","5,859","6,431","6,431","7,262","7,262","7,262","7,262","7,262"
Guinea-Bissau,43,43,46,50,50,50,50,50,52,52,53,73,73,205,205,257,257,257,413,413,475,564,594,641,726,761,820,836,913,913,969,990,"1,032","1,038","1,089","1,109","1,114","1,114","1,114","1,178","1,178","1,195","1,195","1,256","1,256","1,256","1,339","1,339","1,339","1,339","1,368","1,368","1,368","1,389","1,389","1,389","1,389","1,460","1,460","1,460","1,492","1,492","1,492","1,492","1,541","1,541","1,541","1,556","1,556","1,556","1,556","1,614","1,614","1,614","1,654","1,654","1,654","1,654","1,765","1,765","1,765","1,790","1,790","1,790","1,790","1,842","1,842","1,842","1,842","1,842","1,842","1,902","1,927","1,949","1,949","1,949","1,954","1,954","1,954","1,954","1,954","1,954","1,954","1,954","1,954","1,981","1,981","1,981","1,981","1,981","1,981","2,032","2,032","2,032","2,052","2,052","2,052","2,088","2,088","2,088","2,088","2,117","2,117","2,117","2,117","2,117","2,149","2,149","2,149","2,149","2,149","2,149","2,205","2,205","2,205","2,205","2,205","2,205","2,205","2,205","2,205","2,245","2,245","2,245","2,245","2,245","2,245","2,275","2,275","2,275","2,275","2,275","2,275","2,275","2,275","2,303","2,303","2,303","2,303","2,324","2,324","2,324","2,324","2,324","2,324","2,324","2,324","2,324","2,324","2,362","2,362","2,362","2,385","2,385","2,385","2,385","2,385","2,385","2,385","2,389","2,389","2,389","2,389","2,389","2,389","2,389","2,403","2,403","2,403","2,403","2,403","2,403","2,403","2,403","2,403","2,403","2,403","2,403","2,413","2,413"
