Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23
Guyana,271,360,360,409,409,417,442,477,477,477,562,590,590,590,736,736,736,736,736,736,865,908,998,998,"1,162","1,182","1,254","1,297","1,338","1,355","1,385","1,385","1,481","1,614","1,647","1,691","1,738","1,782","1,853","1,894","1,907","1,908",14,"2,017","2,040","2,058","2,109","2,109","2,109","2,186","2,186","2,285","2,285","2,309","2,358","2,386","2,442","2,451","2,450","2,491","2,491","2,537","2,551","2,604","2,604","2,604","2,680","2,730","2,757","2,757","2,994","2,994","3,081","3,081","3,245","3,278","3,349","3,349","3,447","3,533","3,567","3,567","3,720","3,720","3,924","3,956","4,025","4,134","4,233","4,295","4,345","4,427","4,523","4,580","4,684","4,791","4,790","4,981","5,052","5,156","5,323","5,431","5,612","5,691","5,799","5,898","5,979","6,101","6,218","6,218","6,322","6,426","6,563","6,563","6,709","6,709","6,751","6,818","6,940","7,164","7,381","7,538","7,682","7,682","7,843","8,001","8,261","8,261","8,588","8,771"
Haiti,32,32,44,44,54,54,56,61,61,63,67,67,68,68,73,74,74,82,90,91,91,100,100,102,114,114,114,114,124,132,147,147,186,186,199,199,221,227,239,239,292,305,3,305,360,402,460,463,488,502,502,582,582,646,654,669,694,709,709,745,745,794,821,847,847,847,910,910,948,950,950,950,994,994,994,"1,042","1,051","1,074","1,090","1,090","1,127","1,154","1,154","1,183","1,202","1,202","1,243","1,266","1,275","1,275","1,275","1,312","1,338","1,371","1,371","1,371","1,418","1,418","1,438","1,459","1,459","1,459","1,501","1,515","1,515","1,537","1,557","1,563","1,563","1,563","1,603","1,616","1,616","1,621","1,620","1,658","1,658","1,658","1,658","1,658","1,658","1,658","1,658","1,839","1,839","1,874","1,874","1,901","1,911","1,911"
Cayman Islands,"9,677","10,681","10,681","10,681","11,838","11,838","11,838","11,838","14,303","14,303","14,303","14,303","17,468","23,356","23,356","29,320","29,320","29,320","38,465","38,465","46,408","47,564","52,083","52,083","52,083","63,708","69,444","74,450","81,408","89,908","89,905","89,902","89,899","107,906","115,430","121,262","128,373","128,369","128,363","143,212","149,514","154,978",15,"169,667","169,662","169,657","181,912","182,803","190,488","201,827","212,390","212,383","212,377","224,339","234,838","244,713","253,171","262,279","262,271","262,263","262,255","277,363","283,216","294,334","310,065","310,055","310,041","317,048","323,902","330,756","338,858","344,798","344,787","344,777","354,246","361,382","366,224","370,047","370,036","374,833","374,821","374,810","383,668","388,372","391,548","398,184","398,172","398,160","406,543","409,421","409,408","413,761","419,694","419,682","419,662","427,694","429,399","432,807","438,496","439,471","439,458","439,444","439,431","447,955","451,179","455,163","457,886","457,872","457,858","457,844","465,961","469,641","472,780","475,669","475,654","475,640","475,625","484,455","484,440","489,455","493,330","493,307","493,292","503,608","507,938","510,703","516,171","519,649","519,634","519,618"
Benin,,,,,,,,,,,,,,,,,,,,,,,,"1,606","1,606","1,881","2,063","2,101","2,109","2,109","2,108","2,108","2,108","2,108","2,187","2,217","2,217","2,217","2,313","2,318","2,331","2,331",0.2,"2,549","2,548","2,548","2,868","2,867","2,959","2,959","3,381","3,380","3,380","3,727","3,727","3,727","3,726","3,770","3,780","3,793","3,808","3,081","3,850","3,850","4,435","4,434","4,484","4,491","4,512","4,511","4,567","4,579","4,596","4,629","4,645","4,671","4,671","4,670","4,670","4,670","4,669","4,669","4,669","4,668","4,668","4,668","5,575","5,575","5,574","5,574","5,573","5,573","6,002","6,002","6,001","6,001","6,000","6,000","6,633","6,633","6,632","6,632","7,071","7,070","7,070","7,069","7,069","7,068","7,068","7,067","7,067","7,709","7,709","7,708","7,708","7,707","7,707","8,390","8,389","8,388","8,388","8,804","8,804","8,803","8,802","8,802","8,801","8,800","8,800","8,799"
Libya,102,102,103,106,118,130,172,195,195,213,236,236,236,236,284,284,314,314,340,340,340,340,340,340,450,473,473,473,474,474,530,530,530,530,530,634,634,634,634,751,751,751,0.7,751,815,815,904,904,"1,093","1,194","1,288","1,288","1,349","1,533","1,533","1,612","1,714","1,713","1,874","1,874","2,043","2,043","2,389","2,655","2,775","2,775","2,775","3,022","3,022","3,359","3,359","3,359","3,359","3,359","3,834","3,936","3,936","4,127","4,246","4,246","4,245","4,245","4,524","4,524","4,797","4,908","4,908","5,008","5,193","5,313","5,429","5,566","5,567","5,567","5,837","5,837","6,181","6,428","6,428","6,840","6,840","6,839","6,839","7,274","7,274","7,274","7,274","7,663","7,662","7,662","7,964","8,125","8,677","8,676","8,876","8,876","9,142","9,484","9,910","9,910","10,640","11,017","11,486","11,486","11,921","12,421","12,855","13,261","13,632","13,632"
Eswatini,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,"1,950","1,950","1,952","3,590","3,590","3,590","3,590","3,590","3,590","4,310","4,309","4,309","4,309","4,309","4,309","4,309",2,"4,309","4,308","4,308","4,308","4,308","5,651","5,651","5,651","5,651","5,650","5,650","5,650","5,650","5,650","5,650","5,649","5,649","5,649","5,649","5,649","5,649","5,649","5,648","5,648","5,648","5,648","5,648","5,648","5,647","5,647","10,234","10,234","10,233","10,233","10,233","10,232","10,232","10,232","12,278","12,278","12,278","12,277","12,277","12,277","12,276","15,130","15,129","15,129","15,128","15,128","15,128","15,127","15,127","17,905","17,904","17,904","17,903","17,903","17,902","17,902","17,901","17,900","17,900","17,899","17,899","17,898","17,898","17,897","17,897","17,896","23,617","23,616","23,615","23,967","23,966","23,965","24,432","24,432","24,431","24,430","24,430","24,429","24,428","24,427","24,427","24,426","24,425"
French Polynesia,"3,275","3,275","4,635","4,635","5,393","5,892","5,892","6,418","7,365","7,365","7,365","8,241","8,348","8,576","8,576","9,056","9,252","9,377","9,487","9,601","9,601","10,025","10,025","10,502","10,502","10,502","10,829","10,829","11,293","11,293","11,457","11,457","12,454","12,454","13,130","13,130","13,796","13,796","13,795","14,119","14,119","14,119",,"14,268","14,268","14,389","14,389","14,388","14,388","14,388","14,388","15,178","15,178","15,178","15,177","15,177","15,177","15,177","15,176","15,176","16,301","16,301","16,301","16,300","16,300","16,300","16,299","16,299","16,299","16,299","16,298","16,551","16,551","16,550","16,550","16,550","16,550","16,549","16,549","16,549","16,549","16,548","16,548","16,548","16,548","16,547","16,547","16,547","16,547","16,546","16,546","16,546","16,545","16,545","16,545","16,545","16,544","16,544","16,544","16,544","16,543","16,543","16,543","16,543","19,179","19,179","19,178","19,178","19,178","19,178","20,810","20,810","20,810","21,845","21,844","21,844","23,213","23,213","23,213","23,212","23,212","23,211","23,211","23,211","23,210","35,258","35,257","35,257","35,256","35,256"
Guinea-Bissau,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,765,765,765,765,764,764,764,764,764,764,764,764,764,764,4,764,764,764,764,764,764,764,764,764,764,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,762,761,761,761,761,761,761,761,761,761,761,761,761,761,761,761,761,761,761,761,761,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760
Nepal,542,542,542,"1,015","1,015","1,015",301,301,323,"1,693","1,763","1,763","1,882","1,963","1,963","2,072","2,115","2,166","2,166","2,213","2,213","2,302","2,403","2,479","2,479","2,621","2,623","2,803","2,810","2,993","3,180","3,180","3,449","3,689","3,803","4,039","4,285","4,546","4,774","5,049","5,240","5,452",0.2,"5,832","5,974","6,211","6,382","6,589","6,896","7,207","7,607","7,901","8,290","8,864","9,363","9,745","10,103","10,647","10,920","11,820","12,298","12,615","13,166","13,690","14,068","14,474","15,019","15,434","15,724","16,374","16,741","16,926","17,334","17,597","17,901","18,062","18,323","18,341","18,803","18,802","18,801","19,472","19,705","19,861","20,021","20,185","20,309","20,443","20,643","20,791","20,965","21,135","21,294","21,408","21,535","21,681","21,816","21,945","22,063","22,199","22,197","22,196","22,613","22,785","22,990","23,205","23,573","23,815","24,114","24,375","24,634","24,854","25,079","25,350","25,615","25,906","26,193","26,550","26,908","27,244","27,639","28,030","28,434","28,828","29,286","29,679","30,083","30,550","30,976","30,975"
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Macao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,269","6,269","6,269","6,268","6,268","6,268","6,268","6,268","6,267","6,267","6,267","6,267","6,266","6,266","6,266","6,266","6,265","6,265","6,265","6,265","6,264","6,264","6,264","6,264","6,264","6,263","6,263","6,263","6,263","6,262","6,262","6,262","6,262","6,261","6,261","6,261","6,261","6,261","6,260","6,260","6,260","6,260","6,259","6,259","6,259","6,259","6,258","6,258","6,258","6,258","6,257","6,257"
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,329","14,328","14,328","14,327","14,326",78,"14,325","15,904","15,903","15,903","15,902","15,901","15,901","15,900","15,899","15,898","15,898","15,897","15,896","15,895","17,732","17,732","17,731","17,730","17,729","17,728","17,728","17,727","17,726","17,725","17,724","17,724","17,723","17,722","17,721","17,720","17,719","17,719","17,718","17,717","17,716","22,008","22,007","22,006","22,005","22,004","22,003","22,002","22,001","22,000","21,999","21,998","21,997","21,996","21,995","21,994","27,290","27,290","27,288","27,287","27,285","27,284","27,283","27,902","27,900","27,899","27,898","27,897","27,895","27,894","27,893","30,551","30,550","30,549","30,547","30,546","30,544","30,543","45,696","45,694","49,022","49,019","49,018","59,908","59,905","59,901","63,202","63,200","63,197","63,193","63,190","63,187","63,185"
Mongolia,329,442,442,474,474,"2,074","2,175","2,183","2,207","2,224","2,224","2,224","2,224","2,224","2,274","2,340","2,447","2,517","2,517","2,711","2,729","2,774","2,787","2,807","2,928","2,961","2,985","2,985","3,106","3,106","3,106","3,154","3,362","3,474","3,558","3,591","3,714","3,771","3,791","3,791","3,807","3,883",,"4,153","4,167","4,176","4,288","4,352","4,466","4,609","4,827","4,905","4,971","4,985","4,997","5,106","5,202","5,275","5,375","5,464","5,543","5,669","5,765","5,875","5,978","5,997","6,093","6,195","6,325","6,400","6,502","6,554","6,606","6,699","6,765","6,874","6,997","7,089","7,148","7,317","7,334","7,435","7,666","7,779","7,992","8,092","8,299","8,413","8,457","8,508","8,632","8,687","8,820","8,989","9,023","9,123","9,282","9,422","9,551","9,767","10,041","10,095","10,175","10,383","10,575","10,733","10,808","10,901","11,039","11,169","11,355","11,354","11,675","11,754","11,935","12,115","12,303","12,456","12,662","12,810","12,950","13,139","13,330","13,514","13,692","13,920","14,103","14,318","14,483","14,675"
Malawi,18,22,22,22,22,22,27,27,30,32,32,32,36,39,40,43,43,47,47,47,50,58,62,62,62,70,70,71,72,72,92,95,95,95,95,95,126,126,126,126,177,177,0.2,177,177,265,265,265,265,264,323,328,328,343,343,350,350,350,350,437,437,446,466,466,466,466,511,604,603,603,603,658,658,658,699,699,741,768,822,851,851,851,910,910,925,983,983,983,"1,096","1,125","1,147","1,165","1,164","1,213","1,213","1,263","1,263","1,296","1,296","1,344","1,389","1,417","1,440","1,444","1,451","1,524","1,544","1,544","1,544","1,662","1,677","1,704","1,745","1,776","1,796","1,813","1,818","1,842","1,864","1,968","2,004","2,022","2,044","2,072","2,090","2,117","2,137","2,161","2,189","2,219"
Zimbabwe,48,168,177,192,192,280,280,336,367,367,408,430,460,460,514,514,514,514,514,514,514,"1,080","1,080","1,080","1,382","1,382","1,382","1,382","2,432","1,717","1,717","1,824","1,889","1,888","1,888","1,888","1,888","2,366","2,496","2,496","2,496","2,496",0.3,"2,752","3,140","3,140","3,140","3,140","3,140","3,430","3,430","3,517","3,563","3,563","3,563","3,563","3,562","3,562","3,562","3,562","3,562","3,562","3,562","3,561","3,561","3,561","3,561","3,561","3,586","4,342","4,382","4,422","4,457","4,457","4,515","4,559","4,602","4,793","5,078","5,279","5,388","5,426","5,471","5,521","5,799","5,869","5,948","5,985","6,127","6,271","6,446","6,557","6,704","6,749","6,816","6,945","7,067","7,246","7,432","7,511","7,950","8,057","8,252","8,347","8,516","8,730","8,806","8,910","9,019","9,018","9,435","9,435","9,434","9,878","9,973","10,060","10,060","10,059","10,059","10,058","10,058","10,058","10,057","10,057","10,056","10,056","10,056","10,055","10,055","10,054"
Angola,,,,,,,,,,,,,,,,15,15,15,91,91,91,91,91,91,91,91,91,91,188,188,187,187,187,187,187,187,187,305,305,305,305,305,0.1,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,"1,793","1,793","1,924","1,924","1,946","1,946","1,965","1,965","1,965","1,965","1,964","1,964","1,964","1,964","1,964","1,964","1,963","1,963","1,963","1,963","1,963","1,963","1,962","1,962","1,962","1,962","1,962"
Antigua and Barbuda,745,745,745,745,745,"1,103","1,103","1,103","1,154","1,154","1,154","1,154","1,154","1,154","1,154","1,542","1,542","1,542","1,542","1,562","1,562","1,562","1,562","1,869","1,869","1,869","1,869","1,869","1,871","1,871","1,871","1,871","1,871","1,870","1,870","1,870","1,870","1,870","1,870","1,870","1,870","1,870",31,"1,870","1,870","1,870","1,870","2,514","2,514","2,514","2,513","2,513","2,513","2,513","2,513","2,513","4,996","4,996","4,995","4,995","4,995","4,995","4,995","4,995","4,995","4,995","4,994","4,994","6,945","6,945","6,945","6,945","6,944","6,944","6,944","6,944","6,944","8,128","8,128","8,128","8,128","8,127","8,127","8,127","8,719","8,780","8,780","8,780","8,841","8,840","8,840","9,197","9,493","9,493","9,493","9,493","9,492","9,492","11,656","12,135","12,135","12,135","12,624","12,624","13,726","13,725","14,154","14,153","14,153","15,071","15,071","15,305","15,305","15,304","15,304","15,304","15,303","15,303","17,690","17,689","18,158","18,158","18,157","16,341","16,708","16,800","17,727","18,104","18,104","18,104"
Timor-Leste,,,,,,244,244,244,244,244,244,244,244,244,244,244,244,244,504,504,504,560,560,560,560,560,560,560,561,561,561,561,561,561,561,561,561,561,561,561,980,980,,980,980,980,980,980,"1,191","1,191","1,191","1,191","1,191","1,191","1,191","1,191","1,191","1,191","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,188","1,188","1,188","1,188","1,188","1,188","1,188","1,188","1,188","1,188","1,188","1,188","1,188","1,188","1,188","1,188","1,187","1,187","1,187","3,209","3,209","3,209","3,208","3,208","3,208","3,208","3,208","3,208","3,207","3,207","3,207","3,207","3,207","3,207","3,206","3,206","3,893","3,893","3,893"
Botswana,"1,463","1,532","1,532","1,885","1,885","1,885","1,885","1,885","2,136","2,136","2,136","2,136","2,558","2,558","2,784","3,264","3,264","3,264","3,672","3,672","3,855","3,855","3,855","4,057","4,057","4,057","4,888","4,888","4,902","4,901","4,901","4,901","5,667","5,667","6,088","6,332","6,862","6,862","6,861","7,513","7,513","7,666",0.4,"7,665","7,665","8,599","9,251","9,250","9,940","10,225","10,224","10,223","10,223","11,173","11,172","11,171","11,171","11,409","11,409","11,408","11,408","11,407","11,406","14,119","14,118","14,118","14,433","14,432","14,431","15,685","15,684","15,684","15,683","15,682","15,681","17,986","17,985","17,984","19,323","19,321","19,320","20,348","20,347","20,346","20,345","20,344","20,343","21,837","21,836","21,835","21,834","21,832","21,831","21,830","21,829","21,827","21,826","24,018","24,017","26,460","26,458","26,457","28,344","28,343","29,054","29,052","29,051","29,049","29,047","29,046","29,044","29,043","29,041","29,039","29,038","29,036","34,016","34,015","34,013","37,030","37,028","37,026","37,024","37,022","39,624","39,622","39,620","39,618","39,616","39,614"
CAR,,,,,,,,,,,,,,,,,,,724,724,724,724,724,724,724,724,724,724,726,726,726,726,726,726,"2,248","2,343","2,400","2,400","2,400","2,400","2,400","2,400",0.2,"3,019","3,115","3,115","3,115","3,115","3,293","3,293","3,292","3,292","3,292","3,292","3,292","3,764","3,764","3,921","3,921","3,921","3,921","3,921","3,920","3,920","3,920","4,330","4,330","4,330","4,329","4,612","4,612","4,740","4,806","4,806","4,806","4,806","4,805","5,044","5,182","5,214","5,214","5,214","5,356","5,355","5,512","5,548","5,577","5,577","5,667","5,703","5,727","5,745","5,765","5,837","5,836","5,948","5,982","6,013","6,032","6,040","6,040","6,039","6,072","6,075","6,086","6,086","6,099","6,106","6,106","6,108","6,112","6,112","6,116","6,163","6,163","6,163","6,162","6,162","6,185","6,185","6,184","6,184","6,184","6,339","6,338","6,358","6,357","6,357","6,357","6,356"
Laos,177,177,181,183,185,185,201,201,221,228,238,247,249,263,265,278,298,300,306,332,344,358,376,400,438,488,532,546,564,579,609,613,629,641,653,662,694,715,755,798,806,817,,845,885,953,988,998,"1,031","1,041","1,077","1,076","1,143","1,184","1,228","1,268","1,297","1,331","1,335","1,396","1,513","1,526","1,547","1,578","1,578","1,681","1,717","1,764","1,815","1,857","1,909","1,947","1,966","2,013","2,049","2,112","2,154","2,219","2,273","2,349","2,388","2,434","2,486","2,574","2,655","2,725","2,760","2,779","2,810","2,853","2,938","2,990","3,071","3,121","3,156","3,182","3,267","3,272","3,303","3,362","3,450","3,502","3,553","3,623","3,671","3,671","3,721","3,721","3,799","3,857","3,919","3,980","4,032","4,104","4,217","4,269","4,303","4,374","4,407","4,460","4,528","4,602","4,674","4,718","4,775","4,804","4,860","4,881","4,880","4,880"
Belize,"1,426","1,637","1,637","1,637","1,637","1,637","1,974","2,052","2,052","2,052","2,052","2,354","2,354","2,502","2,502","2,623","2,623","2,623","2,623","2,623","2,623","2,623","2,623","2,623","2,623","2,623","2,623","2,623","2,630","2,629","2,629","2,629","2,629","2,629","3,435","3,435","3,616","3,616","3,616","3,616","3,742","3,822",5,"3,960","3,960","3,960","3,960","3,959","4,209","4,208","4,384","4,384","4,384","4,384","4,472","4,471","4,471","4,471","4,471","4,471","4,813","4,812","4,925","4,925","4,925","4,925","5,028","5,027","5,140","5,140","5,140","5,140","5,504","5,504","5,504","5,503","5,737","5,737","5,736","5,930","5,929","6,025","6,024","6,182","6,182","6,282","6,478","6,478","6,478","6,698","6,698","7,002","7,001","7,001","7,001","7,000","7,432","7,600","7,600","7,808","7,953","7,953","7,952","8,166","8,165","8,165","8,164","8,636","8,749","8,748","8,748","9,109","9,236","9,540","10,077","10,076","10,118","10,479","10,689","11,334","11,765","12,196","12,840","12,840","13,251","14,030","14,030","15,373","15,787","16,200"
Fiji,,,,,,,,,"1,004","1,004","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,450","1,450","1,450","1,450","1,450","1,450","1,450","1,450","1,452","1,452","1,451","1,451","1,451","1,451","1,451","1,451","1,451","1,451","1,451","1,451","1,451","2,679",,"2,714","2,714","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,713","2,712","2,712","2,712","4,463","4,463","4,463","4,463","4,463","4,462","4,462","4,462","4,462","4,462","4,462","4,462","4,462","4,462","4,462","4,462","4,461","4,461","4,461","4,461","4,461","4,461","4,461","4,461","4,461","4,461","4,461","4,461","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,459","7,462","7,461","7,461","7,461","7,461","7,461","7,461","7,461","7,460","7,460","7,460","7,460","7,460","7,460","7,460","7,459","7,459","7,459","7,459","7,459","7,459","7,459","7,458","7,458"
Grenada,818,818,818,818,818,818,818,818,818,"1,555","1,555","1,555","1,555","12,495","12,495","12,495","12,495","12,495","12,495","12,495","12,495","12,495","12,495","12,495","12,495","12,495","12,495","12,495","21,511","21,510","21,510","21,510","21,509","21,509","26,737","26,737","26,736","26,736","26,736","26,736","26,735","26,735",,"26,734","26,734","26,733","31,258","31,258","31,258","31,257","31,257","31,256","31,256","36,714","36,713","36,713","36,712","36,712","36,711","36,711","36,710","36,710","36,709","36,709","36,709","36,708","36,708","36,707","36,707","36,706","36,706","36,705","36,705","36,705","48,568","48,568","48,567","48,567","48,566","48,565","48,565","48,564","48,564","48,563","48,562","48,562","48,561","48,561","48,560","48,559","48,558","48,558","48,557","48,557","48,556","48,555","48,555","48,554","48,554","48,553","48,552","48,552","48,551","48,551","48,550","55,541","55,540","55,539","55,539","55,538","55,537","55,537","55,536","55,535","55,534","55,534","55,533","55,532","55,532","55,531","55,530","55,529","55,529","55,528","55,527","55,527","55,526","55,525","55,524","55,524"
New Caledonia,"10,515","11,615","11,906","11,906","11,906","12,441","12,441","13,212","13,842","13,842","13,842","13,842","15,608","15,608","15,608","17,328","17,328","17,328","17,328","17,695","18,259","18,259","18,259","18,259","18,259","18,259","19,103","19,103","19,127","19,127","19,126","19,126","19,125","19,125","19,124","19,124","19,123","19,123","19,122","19,122","19,121","19,121",,"22,492","22,492","23,185","23,420","23,419","24,070","24,070","24,728","24,727","24,762","25,434","25,959","26,204","26,203","26,570","26,569","26,569","26,568","27,289","27,288","27,288","27,287","27,286","28,200","28,199","28,199","28,198","28,936","28,936","28,935","29,445","29,445","29,444","29,443","29,442","29,442","30,155","30,154","30,276","30,338","30,338","31,083","31,674","31,673","31,949","32,277","32,276","32,997","32,996","32,995","32,994","34,453","34,452","34,451","34,450","34,694","35,422","35,421","35,420","35,419","35,653","35,652","35,651","35,650","35,649","35,648","35,647","35,646","35,645","38,839","38,838","39,418","39,417","39,416","39,415","39,414","39,413","39,412","39,411","40,417","40,416","40,586","40,585","41,410","41,409","41,408","41,407"
Curaçao,"1,402","1,639","1,743","1,743","1,743","1,743","1,840","1,853","1,853","1,853","1,853","1,853","1,853","2,090","2,090","2,139","2,139","2,139","2,139","2,279","2,279","2,371","2,371","2,371","2,371","2,371","2,371","2,371","2,372","2,372","2,372","2,372","2,372","2,957","2,957","2,957","3,073","3,073","3,073","3,487","3,487","3,487",6,"3,487","3,487","3,487","3,487","3,487","3,487","6,004","6,004","6,004","6,004","6,004","6,004","6,583","6,583","6,583","6,583","6,583","6,583","6,583","6,583","6,582","6,582","6,582","6,582","6,582","6,582","6,582","6,582","6,582","6,582","6,582","6,582","6,582","6,582","6,581","6,581","6,581","6,581","6,581","6,581","6,581","6,581","6,581","6,581","6,581","6,581","6,581","6,581","6,580","6,580","6,580","6,580","6,580","6,580","6,580","6,580","6,580","6,580","6,580","6,580","6,580","6,579","6,579","6,579","6,579","6,579","6,579","6,579","6,579","6,579","6,579","6,579","6,579","6,579","6,579","6,578","6,578","6,578","6,578","6,578","6,578","6,578","6,578","6,578","6,578","6,578","6,578"
Dominica,"4,793","4,793","4,793","4,793","4,793","4,793","5,237","5,237","5,320","5,320","5,320","5,320","5,320","5,320","5,320","5,320","5,320","5,320","5,320","5,779","5,779","5,779","5,779","5,779","5,834","5,834","5,834","5,834","5,836","5,836","5,836","5,836","6,017","6,017","6,017","6,017","6,017","6,017","6,017","6,016","6,016","6,016",,"6,016","6,016","6,016","6,016","6,016","7,419","7,419","7,419","7,419","7,419","7,419","7,419","7,419","7,419","7,419","7,419","7,419","7,419","7,419","7,419","8,655","8,655","8,655","8,655","8,655","8,655","8,655","8,655","8,655","8,655","8,655","8,654","8,654","8,654","8,654","8,654","8,654","8,654","8,654","8,654","8,654","8,654","8,654","8,654","8,654","8,654","8,654","11,820","11,820","11,820","11,820","11,820","11,820","11,820","11,820","11,820","13,959","13,959","13,959","13,959","13,958","13,958","13,958","13,958","13,958","13,958","13,958","13,958","13,958","13,958","13,957","13,957","13,957","13,957","13,957","13,957","13,957","13,957","13,957","13,957","13,956","22,858","22,858","22,858","22,857","22,857","22,857"
Namibia,142,142,196,206,206,206,206,206,232,266,266,277,277,277,277,277,277,442,442,442,442,505,505,595,607,607,607,607,793,818,818,818,818,818,"1,020","1,020","1,057","1,123","1,194","1,229","1,256","1,262",,"1,345","1,345","1,451","1,565","1,565","1,579","1,578","1,732","1,808","1,808","1,948","1,958","2,003","2,003","2,172","2,238","2,238","2,238","2,331","2,331","2,503","2,565","2,692","2,760","2,887","2,987","3,047","3,155","3,220","3,318","3,427","3,508","3,589","3,764","3,802","4,047","4,204","4,410","4,446","4,656","4,787","4,967","5,031","5,031","5,507","5,782","6,073","6,413","6,413","6,622","6,701","6,958","7,076","7,256","7,573","7,777","7,902","8,211","8,572","9,096","9,561","9,768","10,071","10,321","10,353","10,892","11,204","11,486","11,486","11,485","12,717","12,716","13,350","13,817","14,253","14,252","14,845","15,216","15,864","16,158","16,440","16,863","17,272","17,960","18,500","19,161","19,781"
Saint Kitts and Nevis,"4,399","4,399","4,399","4,399","4,643","4,643","4,831","4,831","4,887","4,887","4,887","4,887","5,508","5,508","5,508","5,508","5,526","5,526","5,526","5,978","5,978","6,147","6,147","6,147","6,147","6,147","6,147","6,147","6,152","6,152","6,152","6,152","6,152","7,356","7,356","7,355","7,355","7,355","7,355","7,411","7,411","7,411",,"7,411","7,411","7,448","7,448","7,448","7,579","7,579","7,579","7,673","7,673","7,673","7,672","7,842","7,841","7,841","7,841","7,841","7,841","7,841","7,841","7,840","7,840","7,840","7,840","8,178","8,178","8,178","8,403","8,403","8,403","8,534","8,534","8,534","8,534","8,534","8,534","9,078","9,078","9,078","9,266","9,266","9,266","12,235","12,235","12,234","12,610","12,610","12,609","13,248","13,398","13,398","13,623","13,623","13,623","13,622","17,493","17,812","17,812","17,811","17,811","18,900","18,900","18,899","19,274","19,274","19,274","19,593","19,592","21,527","21,526","21,939","21,939","21,938","22,746","24,304","24,304","24,641","24,641","24,640","24,640","24,639","26,010","26,009","26,009","26,853","26,853","26,852"
